edge_id,label_id
0,8
1,36
2,36
3,308
4,7
5,7
6,8
7,101
8,7
9,7
10,8
11,101
12,101
13,101
14,7
15,7
16,307
17,36
18,7
19,7
20,8
21,7
22,8
23,36
24,36
25,36
26,36
27,308
28,7
29,7
30,7
31,7
32,101
33,101
34,101
35,7
36,7
37,7
38,307
39,540
40,36
41,308
42,503
43,7
44,36
45,308
46,7
47,2
48,7
49,7
50,7
51,7
52,7
53,7
54,307
55,308
56,292
57,7
58,7
59,7
60,7
61,8
62,36
63,7
64,540
65,540
66,540
67,540
68,540
69,540
70,7
71,101
72,101
73,7
74,232
75,232
76,232
77,101
78,7
79,7
80,307
81,7
82,307
83,540
84,36
85,7
86,8
87,7
88,7
89,48
90,8
91,36
92,49
93,21
94,58
95,58
96,2
97,2
98,2
99,2
100,2
101,2
102,376
103,354
104,7
105,7
106,8
107,101
108,101
109,101
110,7
111,7
112,8
113,101
114,307
115,7
116,8
117,7
118,7
119,7
120,10
121,10
122,10
123,8
124,101
125,101
126,36
127,36
128,36
129,36
130,36
131,36
132,308
133,8
134,36
135,36
136,36
137,36
138,36
139,36
140,36
141,36
142,308
143,7
144,440
145,440
146,296
147,307
148,36
149,7
150,7
151,21
152,58
153,8
154,101
155,7
156,355
157,296
158,308
159,292
160,48
161,8
162,36
163,49
164,2
165,2
166,2
167,2
168,376
169,376
170,307
171,540
172,36
173,36
174,36
175,36
176,36
177,36
178,36
179,7
180,8
181,8
182,7
183,292
184,307
185,100
186,100
187,100
188,100
189,7
190,7
191,7
192,540
193,7
194,7
195,7
196,48
197,35
198,38
199,2
200,21
201,21
202,58
203,58
204,72
205,376
206,376
207,376
208,376
209,376
210,69
211,98
212,133
213,78
214,10
215,10
216,292
217,100
218,7
219,307
220,100
221,7
222,7
223,7
224,7
225,7
226,7
227,540
228,292
229,292
230,7
231,7
232,8
233,36
234,49
235,7
236,7
237,7
238,355
239,48
240,8
241,36
242,49
243,108
244,21
245,58
246,58
247,2
248,2
249,307
250,8
251,96
252,292
253,292
254,232
255,232
256,101
257,101
258,101
259,7
260,307
261,8
262,36
263,36
264,36
265,36
266,7
267,7
268,72
269,307
270,36
271,21
272,21
273,93
274,58
275,113
276,113
277,113
278,2
279,376
280,8
281,101
282,101
283,101
284,7
285,354
286,355
287,355
288,355
289,355
290,307
291,307
292,307
293,308
294,292
295,292
296,292
297,292
298,292
299,292
300,292
301,292
302,8
303,36
304,36
305,36
306,36
307,36
308,100
309,7
310,7
311,101
312,101
313,101
314,296
315,296
316,7
317,7
318,7
319,1
320,2
321,3
322,3
323,21
324,21
325,2
326,101
327,7
328,8
329,36
330,308
331,7
332,8
333,7
334,2
335,2
336,3
337,3
338,478
339,8
340,8
341,8
342,10
343,7
344,8
345,232
346,101
347,7
348,8
349,36
350,7
351,7
352,292
353,100
354,307
355,292
356,292
357,7
358,21
359,36
360,36
361,535
362,535
363,292
364,7
365,7
366,354
367,355
368,307
369,540
370,36
371,7
372,58
373,58
374,48
375,21
376,21
377,93
378,93
379,58
380,58
381,286
382,286
383,98
384,33
385,540
386,7
387,7
388,7
389,100
390,7
391,36
392,36
393,36
394,292
395,7
396,7
397,8
398,7
399,232
400,101
401,36
402,100
403,7
404,354
405,7
406,540
407,36
408,355
409,101
410,7
411,7
412,7
413,7
414,307
415,8
416,7
417,7
418,21
419,21
420,58
421,58
422,108
423,205
424,58
425,101
426,101
427,7
428,7
429,7
430,7
431,7
432,8
433,7
434,7
435,7
436,540
437,540
438,7
439,7
440,7
441,7
442,307
443,36
444,7
445,7
446,540
447,8
448,36
449,49
450,354
451,355
452,355
453,355
454,7
455,8
456,101
457,101
458,101
459,7
460,7
461,7
462,7
463,72
464,69
465,69
466,222
467,308
468,292
469,292
470,292
471,292
472,7
473,7
474,307
475,100
476,7
477,307
478,7
479,7
480,307
481,292
482,7
483,36
484,36
485,36
486,36
487,36
488,100
489,7
490,307
491,7
492,7
493,7
494,307
495,7
496,7
497,232
498,7
499,8
500,8
501,8
502,101
503,7
504,8
505,36
506,36
507,308
508,7
509,7
510,36
511,292
512,7
513,7
514,8
515,101
516,7
517,7
518,8
519,36
520,36
521,308
522,7
523,101
524,7
525,8
526,101
527,7
528,8
529,308
530,7
531,8
532,292
533,7
534,232
535,7
536,7
537,307
538,8
539,7
540,7
541,8
542,7
543,540
544,36
545,308
546,7
547,7
548,8
549,7
550,7
551,8
552,101
553,7
554,7
555,7
556,101
557,7
558,7
559,7
560,8
561,232
562,232
563,101
564,101
565,101
566,7
567,8
568,7
569,7
570,101
571,101
572,101
573,101
574,101
575,101
576,7
577,7
578,7
579,7
580,8
581,101
582,7
583,8
584,101
585,7
586,7
587,91
588,91
589,2
590,7
591,292
592,100
593,292
594,7
595,7
596,540
597,36
598,100
599,7
600,7
601,292
602,292
603,7
604,8
605,101
606,101
607,7
608,7
609,101
610,8
611,10
612,7
613,8
614,36
615,7
616,8
617,8
618,479
619,7
620,102
621,36
622,292
623,7
624,7
625,8
626,7
627,7
628,7
629,8
630,307
631,8
632,36
633,308
634,7
635,7
636,101
637,101
638,7
639,7
640,7
641,7
642,7
643,7
644,21
645,58
646,58
647,2
648,69
649,69
650,21
651,21
652,69
653,375
654,8
655,101
656,7
657,8
658,307
659,8
660,36
661,36
662,7
663,292
664,307
665,307
666,307
667,307
668,100
669,100
670,307
671,36
672,36
673,36
674,36
675,292
676,100
677,307
678,307
679,100
680,100
681,100
682,8
683,101
684,101
685,101
686,101
687,7
688,7
689,8
690,10
691,7
692,7
693,7
694,7
695,33
696,7
697,7
698,101
699,7
700,8
701,10
702,355
703,355
704,355
705,7
706,7
707,8
708,316
709,8
710,8
711,316
712,7
713,8
714,101
715,101
716,101
717,101
718,101
719,101
720,7
721,8
722,36
723,308
724,8
725,7
726,7
727,8
728,308
729,7
730,8
731,10
732,7
733,8
734,10
735,8
736,10
737,7
738,7
739,7
740,8
741,7
742,7
743,307
744,36
745,292
746,7
747,7
748,8
749,96
750,307
751,36
752,308
753,7
754,7
755,8
756,101
757,7
758,8
759,8
760,8
761,8
762,8
763,8
764,8
765,7
766,8
767,8
768,7
769,8
770,10
771,8
772,10
773,7
774,8
775,101
776,101
777,101
778,7
779,7
780,8
781,101
782,101
783,7
784,7
785,8
786,10
787,7
788,8
789,7
790,7
791,7
792,7
793,8
794,101
795,101
796,7
797,7
798,8
799,8
800,8
801,8
802,7
803,8
804,8
805,8
806,7
807,7
808,7
809,7
810,7
811,354
812,355
813,7
814,7
815,8
816,7
817,307
818,8
819,36
820,36
821,7
822,7
823,7
824,8
825,101
826,101
827,101
828,7
829,7
830,8
831,480
832,101
833,8
834,7
835,7
836,7
837,8
838,8
839,353
840,8
841,8
842,479
843,8
844,10
845,7
846,7
847,8
848,8
849,96
850,7
851,8
852,7
853,7
854,7
855,7
856,307
857,36
858,308
859,7
860,99
861,99
862,99
863,99
864,99
865,99
866,99
867,99
868,99
869,100
870,100
871,100
872,100
873,100
874,8
875,7
876,7
877,7
878,8
879,101
880,101
881,21
882,21
883,69
884,21
885,21
886,21
887,58
888,69
889,108
890,21
891,21
892,69
893,8
894,7
895,7
896,8
897,96
898,7
899,8
900,36
901,7
902,36
903,36
904,36
905,292
906,7
907,7
908,7
909,8
910,8
911,316
912,316
913,8
914,101
915,101
916,7
917,8
918,7
919,8
920,145
921,145
922,7
923,8
924,7
925,540
926,292
927,7
928,8
929,7
930,307
931,8
932,7
933,7
934,8
935,101
936,101
937,7
938,540
939,292
940,100
941,7
942,8
943,101
944,7
945,7
946,36
947,36
948,36
949,36
950,7
