node_id,attr,value
0,label,California
1,label,"Sacramento, California"
2,label,England
3,label,London
4,label,Germany
5,label,Berlin
6,label,Action fiction
7,label,Horror fiction
8,label,Pennsylvania
9,label,Philadelphia
10,label,United States
11,label,Australia
12,label,$h*! My Dad Says
13,label,Sitcom
14,label,Ghana
15,label,Feminism
16,label,Italy
17,label,Mystery fiction
18,label,Louisiana
19,label,Latvia
20,label,"Long Beach, California"
21,label,"Lynn, Massachusetts"
22,label,New Zealand
23,label,Poland
24,label,Warsaw
25,label,"""Repent, Harlequin!"" Said the Ticktockman"
26,label,Harlan Ellison
27,label,English language
28,label,Science fiction
29,label,Satire
30,label,Los Angeles
31,label,"Helena, Arkansas"
32,label,Egypt
33,label,Cairo
34,label,Romance novel
35,label,Art Institute of Chicago
36,label,"Lynwood, California"
37,label,Indie rock
38,label,India
39,label,"New York City, New York"
40,label,Author
41,label,Naturalist
42,label,New York (state)
43,label,Rock music
44,label,Pop music
45,label,France
46,label,Hong Kong
47,label,William Shakespeare
48,label,Mumbai
49,label,Tamil language
50,label,Hip hop music
51,label,Canada
52,label,'48 (novel)
53,label,James Herbert
54,label,United Kingdom
55,label,Alternative history
56,label,Gregory Burke
57,label,Bengali language
58,label,Nepal
59,label,Kuwait
60,label,Mandatory Palestine
61,label,Islam
62,label,Afghanistan
63,label,'Allo 'Allo!
64,label,Jeremy Lloyd
65,label,BBC
66,label,Tonga
67,label,Jordan
68,label,Israel
69,label,Saudi Arabia
70,label,Libya
71,label,Jazz
72,label,Philippines
73,label,Fiction
74,label,"'Hello,' Said the Stick"
75,label,British Columbia
76,label,Filipino language
77,label,"'Oh, Whistle, and I'll Come to You, My Lad'"
78,label,M. R. James
79,label,United Kingdom of Great Britain and Ireland
80,label,"Acton, London"
81,label,Cook Islands
82,label,Fiji
83,label,Drama
84,label,Comedy drama
85,label,Boston
86,label,Massachusetts
87,label,Tragedy
88,label,Larz Bourne
89,label,Japan
90,label,Roald Dahl
91,label,Horror film
92,label,New York City
93,label,Dutch language
94,label,Netherlands
95,label,South Africa
96,label,South Holland
97,label,Suriname
98,label,"San Jose, California"
99,label,Psychedelic rock
100,label,Seoul
101,label,Film director
102,label,Chumbawamba
103,label,Bali Rai
104,label,Young adult fiction
105,label,Chicago
106,label,Illinois
107,label,Sheffield
108,label,The Kinks
109,label,"Ascot, Berkshire"
110,label,Berkshire
111,label,"Richmond, Virginia"
112,label,Virginia
113,label,Postmodern literature
114,label,Portugal
115,label,Switzerland
116,label,Journalist
117,label,Documentary film
118,label,Situation comedy
119,label,Wendy Craig
120,label,Children's literature
121,label,Soviet Union
122,label,Norway
123,label,Norwegian language
124,label,Fantasy
125,label,Austria
126,label,Clive James
127,label,.007
128,label,Rudyard Kipling
129,label,German language
130,label,Slovakia
131,label,Japanese language
132,label,Ontario
133,label,Chile
134,label,Iran
135,label,Ohio
136,label,"Surrey, British Columbia"
137,label,Spain
138,label,Spanish language
139,label,Nairobi
140,label,Ukraine
141,label,Ukrainian language
142,label,Atlanta
143,label,Nevada
144,label,Mass media
145,label,Everett Freeman
146,label,Jim Henson
147,label,Children's television series
148,label,"Oakland, California"
149,label,Denmark
150,label,New South Wales
151,label,"San Francisco, California"
152,label,World War II
153,label,Budapest
154,label,Iceland
155,label,Greece
156,label,Belgium
157,label,10^16 to 1
158,label,Catalan language
159,label,Nottingham
160,label,Jorge Zamacona
161,label,Police procedural
162,label,American Civil War
163,label,Austria-Hungary
164,label,German Empire
165,label,Nazi Germany
166,label,Czechoslovakia
167,label,Venezuela
168,label,Taiwan
169,label,Taipei
170,label,Comedy
171,label,China
172,label,"Washington, D.C."
173,label,Education
174,label,"Newmarket, Suffolk"
175,label,Houston
176,label,Texas
177,label,West Germany
178,label,Milwaukee
179,label,Wisconsin
180,label,Montreal
181,label,Quebec
182,label,Docudrama
183,label,Nonfiction
184,label,Non-fiction
185,label,Film
186,label,Sandi Toksvig
187,label,Detroit
188,label,Michigan
189,label,"Wilmington, Delaware"
190,label,Humour
191,label,Finland
192,label,Edmonton
193,label,Georgia (U.S. state)
194,label,"Oxford, England"
195,label,Crime drama
196,label,Contemporary art
197,label,Fantasy genre
198,label,Crime
199,label,Thriller (genre)
200,label,Korean language
201,label,Religion
202,label,Connecticut
203,label,Turkey
204,label,Maryland
205,label,Manhattan
206,label,San Francisco
207,label,"Worcester, Massachusetts"
208,label,St. Louis
209,label,Wales
210,label,Biography
211,label,City of Salford
212,label,Croatia
213,label,"Winston-Salem, North Carolina"
214,label,"Tampa, Florida"
215,label,Life (magazine)
216,label,Scotland
217,label,Audiobook
218,label,History
219,label,Literary magazine
220,label,Argentina
221,label,Comedy film
222,label,Sweden
223,label,Malaysia
224,label,Singapore
225,label,Luton
226,label,"Victoria, British Columbia"
227,label,Norfolk
228,label,Alabama
229,label,Motherwell
230,label,British Empire
231,label,British Raj
232,label,Kentucky
233,label,British Army
234,label,Cold War
235,label,Sydney
236,label,Florida
237,label,Miami
238,label,Victoria (Australia)
239,label,Adventure fiction
240,label,Dodie Smith
241,label,Samuel West
242,label,Oklahoma City
243,label,Black comedy
244,label,Gateshead
245,label,Maine
246,label,Commonwealth of the Philippines
247,label,Kingdom of England
248,label,Kingdom of Great Britain
249,label,Thirteen Colonies
250,label,Aberdeen
251,label,Inverness
252,label,Russia
253,label,Greater London
254,label,West Midlands (region)
255,label,Yorkshire
256,label,Pembrokeshire
257,label,County Durham
258,label,Kingdom of Italy
259,label,Greek language
260,label,News
261,label,September 11 attacks
262,label,Documentary
263,label,Newtownards
264,label,Northern Ireland
265,label,Belfast
266,label,Birmingham
267,label,New Hampshire
268,label,Rhode Island
269,label,Vermont
270,label,Cheshire
271,label,Derbyshire
272,label,Greater Manchester
273,label,Stockport
274,label,Polish Underground State
275,label,Algeria
276,label,British India
277,label,Canning Town
278,label,Brazil
279,label,Prince Edward Island
280,label,United States of America
281,label,Edinburgh
282,label,West Riding of Yorkshire
283,label,Chorley
284,label,"Preston, Lancashire"
285,label,Parody
286,label,"Rugby, Warwickshire"
287,label,Barrow-in-Furness
288,label,Devon
289,label,Dorset
290,label,Exeter
291,label,Wolverhampton
292,label,Surrey
293,label,Adelaide
294,label,South Australia
295,label,"Reading, Berkshire"
296,label,Forest Row
297,label,"Lingfield, Surrey"
298,label,USSR
299,label,Russian Empire
300,label,Chichester
301,label,French language
302,label,Kansas
303,label,Minnesota
304,label,Iraq
305,label,Liverpool
306,label,Toxteth
307,label,City of Westminster
308,label,Bolton
309,label,Mockumentary
310,label,"Buffalo, New York"
311,label,Knightsbridge
312,label,Peterhead
313,label,North Yorkshire
314,label,York
315,label,Dhaka
316,label,Bangladesh
317,label,Bosnians
318,label,Hobart
319,label,Current affairs (news format)
320,label,Ipswich
321,label,Czech language
322,label,Liberalism
323,label,Jamie Linden (writer)
324,label,J. Lee Thompson
325,label,Tara Sharma
326,label,Istanbul
327,label,Leeds
328,label,Arkansas
329,label,Pakistan
330,label,Lisburn
331,label,Oxford
332,label,Wellington
333,label,Royal Navy
334,label,Colorado
335,label,Lithuania
336,label,Mississippi
337,label,North Carolina
338,label,Quetta
339,label,Quebec City
340,label,Malta
341,label,"La Crosse, Wisconsin"
342,label,Beijing
343,label,Benin
344,label,Chester
345,label,Aardman Animations
346,label,Mystery film
347,label,Alternate history
348,label,"Cleveland, Ohio"
349,label,"Dayton, Ohio"
350,label,"Fort Lauderdale, Florida"
351,label,Oklahoma
352,label,Seine
353,label,Port Glasgow
354,label,The United States
355,label,Melbourne
356,label,Manchester
357,label,Arizona
358,label,"Springfield, Missouri"
359,label,Indiana
360,label,Prague
361,label,Oregon
362,label,South Dakota
363,label,"Savannah, Georgia"
364,label,"Silver Spring, Maryland"
365,label,Greg Marcks
366,label,Johannesburg
367,label,Brighton
368,label,East Sussex
369,label,"Jacksonville, Florida"
370,label,Cardiff
371,label,Beverley
372,label,Angola
373,label,Belgrade
374,label,Occupation of Japan
375,label,Alaska
376,label,"Chelsea, London"
377,label,James Patterson
378,label,Thriller novel
379,label,Tunisia
380,label,Thailand
381,label,Samuel W. Ferguson
382,label,Shropshire
383,label,"Philadelphia, Pennsylvania"
384,label,The Beatles
385,label,Montana
386,label,"Marietta, Georgia"
387,label,Mortlake
388,label,Vienna
389,label,Iowa
390,label,Idaho
391,label,Galway
392,label,Ireland
393,label,Bristol
394,label,Richard A. Lupoff
395,label,Catalonia
396,label,Romance fiction
397,label,Dominican Republic
398,label,Toronto
399,label,American English
400,label,Romantic comedy
401,label,Television
402,label,Miranda Hart
403,label,Psychological thriller
404,label,DeWitt Bodeen
405,label,Ashton-under-Lyne
406,label,Distinguished Service Order
407,label,Glasgow
408,label,Leicester
409,label,Trieste
410,label,São Paulo
411,label,North-West Rebellion
412,label,Lebanon
413,label,Gloucester
414,label,Kilmarnock
415,label,West Virginia
416,label,"Augusta, Maine"
417,label,Hemel Hempstead
418,label,Hertfordshire
419,label,Greenwich Village
420,label,Hanover
421,label,Hugh MacDiarmid
422,label,Medical
423,label,The Bronx
424,label,Art
425,label,Penzance
426,label,Nebraska
427,label,Dover
428,label,Bernard Cornwell
429,label,Historical novel
430,label,Hitchin
431,label,Tynemouth
432,label,"Birmingham, Alabama"
433,label,Dagestan
434,label,Adventure novel
435,label,Fantasy novel
436,label,Kathryn Tucker Windham
437,label,Economics
438,label,Anthology
439,label,Robb White
440,label,13 Hours: The Secret Soldiers of Benghazi
441,label,Kensington
442,label,Bloemfontein
443,label,The Ice-Shirt
444,label,Science
445,label,Polish language
446,label,Dunedin
447,label,Tibetan people
448,label,Somaliland
449,label,Shimla
